contest_id,index,name,rating,solved_count,tags
1331,G,Lingua Romana,,375,
1331,F,Elementary!,,415,"brute force, dp, strings"
1331,E,Jordan Smiley,,986,"dfs and similar, geometry, implementation"
1331,D,Again?,,10087,implementation
1331,C,...And after happily lived ever they,,2629,bitmasks
1331,B,Limericks,,5750,"math, number theory"
1331,A,Is it rated?,,13114,
1330,B,Dreamoon Likes Permutations,1400,9748,"implementation, math"
1330,A,Dreamoon and Ranking Collection,900,14215,implementation
1329,E,Dreamoon Loves AA,3300,52,"binary search, greedy"
1329,D,Dreamoon Likes Strings,3100,149,"constructive algorithms, data structures"
1329,C,Drazil Likes Heap,2400,1157,"constructive algorithms, data structures, greedy, implementation"
1329,B,Dreamoon Likes Sequences,1700,4524,"bitmasks, combinatorics, math"
1329,A,Dreamoon Likes Coloring,1800,6247,"constructive algorithms, greedy, implementation, math"
1328,F,Make k Equal,2200,2087,greedy
1328,E,Tree Queries,1900,4435,"dfs and similar, graphs, trees"
1328,D,Carousel,1800,7594,"constructive algorithms, dp, graphs, greedy, math"
1328,C,Ternary XOR,1200,17121,"greedy, implementation"
1328,B,K-th Beautiful String,1300,16191,"binary search, brute force, combinatorics, implementation, math"
1328,A,Divisibility Problem,800,29856,math
1327,G,Letters and Question Marks,2800,237,"bitmasks, dp, string suffix structures"
1327,F,AND Segments,2500,715,"bitmasks, combinatorics, data structures, dp, two pointers"
1327,E,Count The Blocks,1800,5575,"combinatorics, dp, math"
1327,D,Infinite Path,2200,2262,"brute force, dfs and similar, graphs, math, number theory"
1327,C,Game with Chips,1600,8921,"constructive algorithms, implementation"
1327,B,Princesses and Princes,1200,13080,"brute force, graphs, greedy"
1327,A,Sum of Odd Integers,1100,18893,math
1326,G,Spiderweb Trees,3500,22,"dp, geometry, trees"
1326,F2,Wise Men (Hard Version),3200,144,"bitmasks, dp, math"
1326,F1,Wise Men (Easy Version),2600,471,"bitmasks, brute force, dp, meet-in-the-middle"
1326,E,Bombs,2400,1286,"data structures, two pointers"
1326,D2,Prefix-Suffix Palindrome (Hard version),1800,5672,"binary search, greedy, hashing, string suffix structures, strings"
1326,D1,Prefix-Suffix Palindrome (Easy version),1500,7699,"hashing, string suffix structures, strings"
1326,C,Permutation Partitions,1300,10680,"combinatorics, greedy, math"
1326,B,Maximums,900,15941,"implementation, math"
1326,A,Bad Ugly Numbers,1000,16465,"constructive algorithms, number theory"
1325,F,Ehab's Last Theorem,2500,968,"constructive algorithms, dfs and similar, graphs, greedy"
1325,E,Ehab's REAL Number Theory Problem,2600,1147,"brute force, dfs and similar, graphs, number theory, shortest paths"
1325,D,Ehab the Xorcist,1700,6980,"bitmasks, constructive algorithms, greedy, number theory"
1325,C,Ehab and Path-etic MEXs,1500,8508,"constructive algorithms, dfs and similar, greedy, trees"
1325,B,CopyCopyCopyCopyCopy,800,18921,"greedy, implementation"
1325,A,EhAb AnD gCd,800,18887,"constructive algorithms, greedy, number theory"
1324,F,Maximum White Subtree,1800,3840,"dfs and similar, dp, graphs, trees"
1324,E,Sleeping Schedule,1700,6275,"dp, implementation"
1324,D,Pair of Topics,1400,11530,"binary search, data structures, sortings, two pointers"
1324,C,Frog Jumps,1100,14650,"binary search, data structures, dfs and similar, greedy, implementation"
1324,B,Yet Another Palindrome Problem,1100,15578,"brute force, strings"
1324,A,Yet Another Tetris Problem,900,16653,"implementation, number theory"
1323,B,Count Subrectangles,1500,5634,"binary search, greedy, implementation"
1323,A,Even Subset Sum Problem,800,12173,"brute force, dp, greedy, implementation"
1322,F,Assigning Fares,3500,25,"dp, trees"
1322,E,Median Mountain Range,3300,68,data structures
1322,D,Reality Show,2800,303,"bitmasks, dp"
1322,C,Instant Noodles,2300,1100,"graphs, hashing, math, number theory"
1322,B,Present,2100,2284,"binary search, bitmasks, constructive algorithms, data structures, math, sortings"
1322,A,Unusual Competitions,1300,8430,greedy
1321,C,Remove Adjacent,1600,5831,"brute force, constructive algorithms, greedy, strings"
1321,A,Contest for Robots,900,9969,greedy
1320,F,Blocks and Sensors,3500,35,brute force
1320,E,Treeland and Viruses,3000,253,"data structures, dfs and similar, dp, shortest paths, trees"
1320,D,Reachable Strings,2500,687,"data structures, hashing, strings"
1320,C,World of Darkraft: Battle for Azathoth,2000,1984,"brute force, data structures, sortings"
1320,B,Navigation System,1700,3996,"dfs and similar, graphs, shortest paths"
1320,A,Journey Planning,1400,9087,"data structures, dp, greedy, math, sortings"
1316,F,Battalion Strength,2800,268,"data structures, divide and conquer, probabilities"
1316,E,Team Building,2300,1550,"bitmasks, dp, greedy, sortings"
1316,D,Nash Matrix,2000,2346,"constructive algorithms, dfs and similar, graphs, implementation"
1316,C,Primitive Primes,1800,5055,"constructive algorithms, math, ternary search"
1316,B,String Modification,1400,7391,"brute force, constructive algorithms, implementation, sortings, strings"
1316,A,Grade Allocation,800,13589,implementation
1315,C,Restoring Permutation,1200,5821,greedy
1315,B,Homecoming,1300,5535,"binary search, dp, greedy, strings"
1315,A,Dead Pixel,800,8476,implementation
1313,E,Concatenation with intersection,2700,231,"data structures, hashing, strings, two pointers"
1313,D,Happy New Year,2500,449,"bitmasks, dp, implementation"
1313,C2,Skyscrapers (hard version),1900,3464,"data structures, dp, greedy"
1313,C1,Skyscrapers (easy version),1500,5980,"brute force, data structures, dp, greedy"
1313,B,Different Rules,1700,4450,"constructive algorithms, greedy, implementation, math"
1313,A,Fast Food Restaurant,900,10393,"brute force, greedy, implementation"
1312,G,Autocompletion,2600,443,"data structures, dfs and similar, dp"
1312,F,Attack on Red Kingdom,2500,433,"games, two pointers"
1312,E,Array Shrinking,2100,2901,"dp, greedy"
1312,D,Count the Arrays,1700,5448,"combinatorics, math"
1312,C,Adding Powers,1400,9622,"bitmasks, greedy, implementation, math, number theory, ternary search"
1312,B,Bogosort,1000,14142,"constructive algorithms, sortings"
1312,A,Two Regular Polygons,800,16319,"geometry, greedy, math, number theory"
1311,F,Moving Points,1900,2180,"data structures, divide and conquer, implementation, sortings"
1311,E,Construct the Binary Tree,2200,1196,"brute force, constructive algorithms, trees"
1311,D,Three Integers,2000,5313,"brute force, math"
1311,C,Perform the Combo,1300,10073,brute force
1311,B,WeirdSort,1200,11563,"dfs and similar, sortings"
1311,A,Add Odd or Subtract Even,800,20070,"greedy, implementation, math"
1310,F,Bad Cryptography,3400,28,"math, number theory"
1310,E,Strange Function,2900,102,dp
1310,D,Tourism,2300,721,"dp, graphs, probabilities"
1310,C,Au Pont Rouge,2800,194,"binary search, dp, strings"
1310,B,Double Elimination,2500,324,"dp, implementation"
1310,A,Recommendations,1700,3269,"data structures, greedy, sortings"
1307,G,Cow and Exercise,3100,134,"flows, graphs, shortest paths"
1307,F,Cow and Vacation,3300,227,"dfs and similar, dsu, trees"
